,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
0,Charlton,Man City,4,0,H,0,0,0,0,0,0,M,M,M,M,M,M,18,18,1,0,0,0,MMM,MMM,0,0,0
1,Chelsea,West Ham,4,2,H,0,0,0,0,0,0,M,M,M,M,M,M,5,9,1,-4,0,0,MMM,MMM,0,0,0
2,Coventry,Middlesbrough,1,3,A,0,0,0,0,0,0,M,M,M,M,M,M,14,12,1,2,0,0,MMM,MMM,0,0,0
3,Derby,Southampton,2,2,D,0,0,0,0,0,0,M,M,M,M,M,M,16,15,1,1,0,0,MMM,MMM,0,0,0
4,Leeds,Everton,2,0,H,0,0,0,0,0,0,M,M,M,M,M,M,3,13,1,-10,0,0,MMM,MMM,0,0,0
5,Leicester,Aston Villa,0,0,D,0,0,0,0,0,0,M,M,M,M,M,M,8,6,1,2,0,0,MMM,MMM,0,0,0
6,Liverpool,Bradford,1,0,H,0,0,0,0,0,0,M,M,M,M,M,M,4,17,1,-13,0,0,MMM,MMM,0,0,0
7,Sunderland,Arsenal,1,0,H,0,0,0,0,0,0,M,M,M,M,M,M,7,2,1,5,0,0,MMM,MMM,0,0,0
8,Tottenham,Ipswich,3,1,H,0,0,0,0,0,0,M,M,M,M,M,M,10,18,1,-8,0,0,MMM,MMM,0,0,0
9,Man United,Newcastle,2,0,H,0,0,0,0,0,0,M,M,M,M,M,M,1,11,1,-10,0,0,MMM,MMM,0,0,0
10,Arsenal,Liverpool,2,0,H,0,1,1,0,0,1.5,L,M,M,W,M,M,2,4,2,-2,-0.5,0.5,LMM,WMM,0,3,-1.5
11,Bradford,Chelsea,2,0,H,0,4,1,2,0,1.5,L,M,M,W,M,M,17,5,2,12,-0.5,1,LMM,WMM,0,3,-1.5
12,Ipswich,Man United,1,1,D,1,2,3,0,0,1.5,L,M,M,W,M,M,18,1,2,17,-1,1,LMM,WMM,0,3,-1.5
13,Middlesbrough,Tottenham,1,1,D,3,3,1,1,1.5,1.5,W,M,M,W,M,M,12,10,2,2,1,1,WMM,WMM,3,3,0
14,Everton,Charlton,3,0,H,0,4,2,0,0,1.5,L,M,M,W,M,M,13,18,2,-5,-1,2,LMM,WMM,0,3,-1.5
15,Man City,Sunderland,4,2,H,0,1,4,0,0,1.5,L,M,M,W,M,M,18,7,2,11,-2,0.5,LMM,WMM,0,3,-1.5
16,Newcastle,Derby,3,2,H,0,2,2,2,0,0.5,L,M,M,D,M,M,11,16,2,-5,-1,0,LMM,DMM,0,1,-0.5
17,Southampton,Coventry,1,2,A,2,1,2,3,0.5,0,D,M,M,L,M,M,15,14,2,1,0,-1,DMM,LMM,1,0,0.5
18,West Ham,Leicester,0,1,A,2,0,4,0,0,0.5,L,M,M,D,M,M,9,8,2,1,-1,0,LMM,DMM,0,1,-0.5
19,Arsenal,Charlton,5,3,H,0,4,1,0,0,1.5,L,M,M,W,M,M,2,18,2,-16,-0.5,2,LMM,WMM,0,3,-1.5
20,Bradford,Leicester,0,0,D,2,1,1,0,1,1.333333333,W,L,M,W,D,M,17,8,3,9,0.333333333,0.333333333,WLM,WDM,3,4,-0.333333333
21,Everton,Derby,2,2,D,3,4,2,5,1,0.333333333,W,L,M,L,D,M,13,16,3,-3,0.333333333,-0.333333333,WLM,LDM,3,1,0.666666667
22,Ipswich,Sunderland,1,0,H,2,3,4,4,0.333333333,1,D,L,M,L,W,M,18,7,3,11,-0.666666667,-0.333333333,DLM,LWM,1,3,-0.666666667
23,Man City,Coventry,1,2,A,4,3,6,4,1,1,W,L,M,W,L,M,18,14,3,4,-0.666666667,-0.333333333,WLM,WLM,3,3,0
24,Middlesbrough,Leeds,1,2,A,4,4,2,1,1.333333333,2,D,W,M,W,W,M,12,3,3,9,0.666666667,1,DWM,WWM,4,6,-0.666666667
25,Newcastle,Tottenham,2,0,H,3,4,4,2,1,1.333333333,W,L,M,D,W,M,11,10,3,1,-0.333333333,0.666666667,WLM,DWM,3,4,-0.333333333
26,Southampton,Liverpool,3,3,D,3,1,4,2,0.333333333,1,L,D,M,L,W,M,15,4,3,11,-0.333333333,-0.333333333,LDM,LWM,1,3,-0.666666667
27,West Ham,Man United,2,2,D,2,3,5,1,0,1.333333333,L,L,M,D,W,M,9,1,3,8,-1,0.666666667,LLM,DWM,0,4,-1.333333333
28,Aston Villa,Chelsea,1,1,D,1,4,1,4,0.666666667,1,D,D,M,L,W,M,6,5,3,1,0,0,DDM,LWM,2,3,-0.333333333
29,Leeds,Man City,1,2,A,4,4,1,6,2,1,W,W,M,W,L,M,3,18,3,-15,1,-0.666666667,WWM,WLM,6,3,1
30,Man United,Bradford,6,0,H,5,2,3,1,1.25,1,D,D,W,D,W,L,1,17,4,-16,0.5,0.25,DDW,DWL,5,4,0.25
31,Sunderland,West Ham,1,1,D,3,4,5,7,0.75,0.25,L,L,W,D,L,L,7,9,4,-2,-0.5,-0.75,LLW,DLL,3,1,0.5
32,Tottenham,Everton,3,2,H,4,5,4,4,1,1,L,D,W,D,W,L,10,13,4,-3,0,0.25,LDW,DWL,4,4,0
33,Charlton,Southampton,1,1,D,7,6,8,7,0.75,0.5,L,L,W,D,L,D,18,15,4,3,-0.25,-0.25,LLW,DLD,3,2,0.25
34,Chelsea,Arsenal,2,2,D,5,7,5,4,1,1.5,D,L,W,W,W,L,5,2,4,3,0,0.75,DLW,WWL,4,6,-0.5
35,Coventry,Newcastle,0,2,A,5,5,5,4,1.5,1.5,W,W,L,W,W,L,14,11,4,3,0,0.25,WWL,WWL,6,6,0
36,Derby,Middlesbrough,3,3,D,6,5,7,4,0.5,1,D,L,D,L,D,W,16,12,4,4,-0.25,0.25,DLD,LDW,2,4,-0.5
37,Leicester,Ipswich,2,1,H,1,3,0,4,1.25,1,D,W,D,W,D,L,8,18,4,-10,0.25,-0.25,DWD,WDL,5,4,0.25
38,Liverpool,Aston Villa,3,1,H,4,2,5,4,1,0.5,D,L,W,L,D,D,4,6,4,-2,-0.25,-0.5,DLW,LDD,4,2,0.5
39,Bradford,Arsenal,1,1,D,2,7,1,4,1,1.5,D,W,L,W,W,L,17,2,4,15,0.25,0.75,DWL,WWL,4,6,-0.5
40,Coventry,Leeds,0,0,D,5,5,7,3,1.2,1.4,L,W,W,D,L,W,14,3,5,11,-0.4,0.4,LWW,DLW,6,4,0.4
41,Ipswich,Aston Villa,1,2,A,4,4,6,5,0.8,1,L,W,D,W,L,D,18,6,5,12,-0.4,-0.2,LWD,WLD,4,4,0
42,Leicester,Southampton,1,0,H,3,7,1,8,1.6,0.6,W,D,W,D,D,L,8,15,5,-7,0.4,-0.2,WDW,DDL,7,2,1
43,Liverpool,Man City,3,2,H,7,7,6,9,1.4,1.2,W,D,L,W,L,W,4,18,5,-14,0.2,-0.4,WDL,WLW,4,6,-0.4
44,Man United,Sunderland,3,0,H,11,4,3,6,1.6,0.8,W,D,D,D,L,L,1,7,5,-6,1.6,-0.4,WDD,DLL,5,1,0.8
45,Middlesbrough,Everton,1,2,A,8,7,7,7,1,0.8,D,L,D,L,D,W,12,13,5,-1,0.2,0,DLD,LDW,2,4,-0.4
46,Newcastle,Chelsea,0,0,D,7,7,4,7,1.8,1,W,W,W,D,D,L,11,5,5,6,0.6,0,WWW,DDL,9,2,1.4
47,Derby,Charlton,2,2,D,9,8,10,9,0.6,0.8,D,D,L,D,L,L,16,18,5,-2,-0.2,-0.2,DDL,DLL,2,1,0.2
48,Tottenham,West Ham,1,0,H,7,5,6,8,1.4,0.4,W,L,D,D,D,L,10,9,5,1,0.2,-0.6,WLD,DDL,4,2,0.4
49,Arsenal,Coventry,2,1,H,9,5,6,7,1.4,1.2,D,W,W,L,W,W,2,14,5,-12,0.6,-0.4,DWW,LWW,7,6,0.2
50,Aston Villa,Bradford,2,0,H,6,3,5,8,1.333333333,0.833333333,W,W,L,D,L,D,6,17,6,-11,0.166666667,-0.833333333,WWL,DLD,6,2,0.666666667
51,Charlton,Tottenham,1,0,H,10,8,11,6,0.833333333,1.666666667,D,D,L,W,W,L,18,10,6,8,-0.166666667,0.333333333,DDL,WWL,2,6,-0.666666667
52,Everton,Man United,1,3,A,9,14,8,3,1.166666667,1.833333333,W,L,D,W,W,D,13,1,6,12,0.166666667,1.833333333,WLD,WWD,4,7,-0.5
53,Leeds,Ipswich,1,2,A,6,5,5,8,1.166666667,0.666666667,L,D,L,L,L,W,3,18,6,-15,0.166666667,-0.5,LDL,LLW,1,3,-0.333333333
54,Southampton,Newcastle,2,0,H,7,7,9,4,0.5,1.666666667,L,D,D,D,W,W,15,11,6,4,-0.333333333,0.5,LDD,DWW,2,7,-0.833333333
55,Sunderland,Derby,2,1,H,4,11,9,12,0.666666667,0.666666667,L,D,L,D,D,D,7,16,6,-9,-0.833333333,-0.166666667,LDL,DDD,1,3,-0.333333333
56,Chelsea,Leicester,0,2,A,7,4,7,1,1,1.833333333,D,D,D,W,W,D,5,8,6,-3,0,0.5,DDD,WWD,3,7,-0.666666667
57,Man City,Middlesbrough,1,1,D,9,9,12,9,1,0.833333333,L,W,L,L,D,L,18,12,6,6,-0.5,0,LWL,LDL,3,1,0.333333333
58,West Ham,Liverpool,1,1,D,5,10,9,8,0.333333333,1.666666667,L,D,D,W,W,D,9,4,6,5,-0.666666667,0.333333333,LDD,WWD,2,7,-0.833333333
59,Bradford,Southampton,0,1,A,3,7,8,9,0.833333333,0.5,D,L,D,L,D,D,17,15,6,2,-0.833333333,-0.333333333,DLD,LDD,2,2,0
60,Coventry,West Ham,0,3,A,6,6,9,10,1,0.428571429,L,D,L,D,L,D,14,9,7,5,-0.428571429,-0.571428571,LDL,DLD,1,2,-0.142857143
61,Derby,Leeds,1,1,D,12,7,14,6,0.571428571,1.142857143,L,D,D,D,L,D,16,3,7,13,-0.285714286,0.142857143,LDD,DLD,2,2,0
62,Ipswich,Arsenal,1,1,D,7,12,9,8,1,1.571428571,W,L,L,W,D,D,18,2,7,16,-0.285714286,0.571428571,WLL,WDD,3,5,-0.285714286
63,Liverpool,Sunderland,1,1,D,11,6,9,10,1.571428571,1,D,W,W,W,L,D,4,7,7,-3,0.285714286,-0.571428571,DWW,WLD,7,4,0.428571429
64,Man United,Chelsea,3,3,D,17,7,4,9,2,0.857142857,W,W,W,L,D,D,1,5,7,-4,1.857142857,-0.285714286,WWW,LDD,9,2,1
65,Middlesbrough,Aston Villa,1,1,D,10,7,10,6,0.857142857,1.285714286,D,L,D,D,W,W,12,6,7,6,0,0.142857143,DLD,DWW,2,7,-0.714285714
