,HomeTeam,AwayTeam,HTGD,ATGD,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,DiffFormPts,DiffLP,FTR
30,Man United,Bradford,0.5,0.25,1.25,1.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0.25,-16,H
31,Sunderland,West Ham,-0.5,-0.75,0.75,0.25,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.5,-2,D
32,Tottenham,Everton,0.0,0.25,1.0,1.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0.0,-3,H
33,Charlton,Southampton,-0.25,-0.25,0.75,0.5,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0.25,3,D
34,Chelsea,Arsenal,0.0,0.75,1.0,1.5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.5,3,D
35,Coventry,Newcastle,0.0,0.25,1.5,1.5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.0,3,A
36,Derby,Middlesbrough,-0.25,0.25,0.5,1.0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.5,4,D
37,Leicester,Ipswich,0.25,-0.25,1.25,1.0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.25,-10,H
38,Liverpool,Aston Villa,-0.25,-0.5,1.0,0.5,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.5,-2,H
39,Bradford,Arsenal,0.25,0.75,1.0,1.5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,-0.5,15,D
40,Coventry,Leeds,-0.4,0.4,1.2,1.4,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.4,11,D
41,Ipswich,Aston Villa,-0.4,-0.2,0.8,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0.0,12,A
42,Leicester,Southampton,0.4,-0.2,1.6,0.6,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1.0,-7,H
43,Liverpool,Man City,0.2,-0.4,1.4,1.2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,-0.4,-14,H
44,Man United,Sunderland,1.6,-0.4,1.6,0.8,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.8,-6,H
